File path,Nodes visited,Max heap size,Time
35/71.pickle,1000000,1000000,60.0
35/95.pickle,1000000,1000000,60.0
35/4.pickle,1000000,1000000,60.0
35/21.pickle,1000000,1000000,60.0
35/77.pickle,1000000,1000000,60.0
35/93.pickle,1000000,1000000,60.0
35/85.pickle,1000000,1000000,60.0
35/83.pickle,1000000,1000000,60.0
35/90.pickle,1000000,1000000,60.0
35/65.pickle,1000000,1000000,60.0
35/25.pickle,1000000,1000000,60.0
35/82.pickle,1000000,1000000,60.0
35/13.pickle,1000000,1000000,60.0
35/62.pickle,1000000,1000000,60.0
35/81.pickle,1000000,1000000,60.0
35/34.pickle,1000000,1000000,60.0
35/14.pickle,1000000,1000000,60.0
35/36.pickle,1000000,1000000,60.0
35/70.pickle,1000000,1000000,60.0
35/28.pickle,1000000,1000000,57.43607187271118
35/46.pickle,1000000,1000000,60.0
35/9.pickle,1000000,1000000,60.0
35/43.pickle,1000000,1000000,60.0
35/89.pickle,1000000,1000000,60.0
35/99.pickle,1000000,1000000,60.0
35/86.pickle,1000000,1000000,60.0
35/0.pickle,1000000,1000000,60.0
35/40.pickle,1000000,1000000,60.0
35/45.pickle,1000000,1000000,60.0
35/78.pickle,1000000,1000000,60.0
35/58.pickle,1000000,1000000,60.0
35/98.pickle,1000000,1000000,38.16264295578003
35/53.pickle,1000000,1000000,60.0
35/30.pickle,1000000,1000000,60.0
35/92.pickle,31668,15841,0.3515629768371582
35/1.pickle,1000000,1000000,60.0
35/24.pickle,1000000,1000000,60.0
35/52.pickle,1000000,1000000,60.0
35/17.pickle,1000000,1000000,60.0
35/79.pickle,1000000,1000000,60.0
35/51.pickle,1000000,1000000,60.0
35/96.pickle,1000000,1000000,60.0
35/6.pickle,1000000,1000000,60.0
35/7.pickle,1000000,1000000,60.0
35/15.pickle,1000000,1000000,60.0
35/59.pickle,1000000,1000000,60.0
35/66.pickle,1000000,1000000,60.0
35/69.pickle,1000000,1000000,60.0
35/32.pickle,1000000,1000000,60.0
35/80.pickle,1000000,1000000,60.0
35/88.pickle,1000000,1000000,60.0
35/23.pickle,1000000,1000000,60.0
35/5.pickle,1000000,1000000,60.0
35/64.pickle,1000000,1000000,60.0
35/39.pickle,1000000,1000000,60.0
35/73.pickle,1000000,1000000,60.0
35/16.pickle,1000000,1000000,60.0
35/74.pickle,1000000,1000000,60.0
35/37.pickle,1000000,1000000,60.0
35/48.pickle,1000000,1000000,60.0
35/76.pickle,1000000,1000000,60.0
35/26.pickle,1000000,1000000,60.0
35/29.pickle,1000000,1000000,60.0
35/11.pickle,1000000,1000000,60.0
35/18.pickle,1000000,1000000,60.0
35/3.pickle,1000000,1000000,60.0
35/49.pickle,1000000,1000000,60.0
35/54.pickle,1000000,1000000,60.0
35/27.pickle,1000000,1000000,60.0
35/75.pickle,1000000,1000000,60.0
35/31.pickle,1000000,1000000,60.0
35/84.pickle,1000000,1000000,60.0
35/22.pickle,1000000,1000000,60.0
35/61.pickle,1000000,1000000,60.0
35/60.pickle,1000000,1000000,60.0
35/47.pickle,1000000,1000000,60.0
35/10.pickle,1000000,1000000,60.0
35/94.pickle,1000000,1000000,60.0
35/12.pickle,1000000,1000000,60.0
35/91.pickle,1000000,1000000,60.0
35/68.pickle,1000000,1000000,60.0
35/20.pickle,1000000,1000000,60.0
35/63.pickle,1000000,1000000,60.0
35/50.pickle,1000000,1000000,60.0
35/87.pickle,1000000,1000000,60.0
35/72.pickle,1000000,1000000,60.0
35/56.pickle,1000000,1000000,60.0
35/57.pickle,1000000,1000000,60.0
35/19.pickle,1000000,1000000,60.0
35/55.pickle,1000000,1000000,60.0
35/38.pickle,1000000,1000000,60.0
35/97.pickle,1000000,1000000,60.0
35/35.pickle,1000000,1000000,60.0
35/41.pickle,1000000,1000000,60.0
35/67.pickle,1000000,1000000,60.0
35/44.pickle,1000000,1000000,60.0
35/8.pickle,309201,151927,3.1749460697174072
35/2.pickle,1000000,1000000,60.0
35/33.pickle,1000000,1000000,60.0
35/42.pickle,1000000,1000000,60.0
