File path,Nodes visited,Heap size,Time
70/0.pickle,1000000,2654073,60
70/1.pickle,1000000,2705361,60
70/2.pickle,1000000,2657588,60
70/3.pickle,1000000,2691609,60
70/4.pickle,1000000,2681741,60
70/5.pickle,1000000,2674192,60
70/6.pickle,1000000,2702986,60
70/7.pickle,1000000,2693543,60
70/8.pickle,1000000,2684559,60
70/9.pickle,1000000,2672329,60
70/10.pickle,1000000,2718224,60
70/11.pickle,1000000,2711267,60
70/12.pickle,1000000,2696780,60
70/13.pickle,1000000,2681777,60
70/14.pickle,1000000,2750952,60
70/15.pickle,1000000,2714710,60
70/16.pickle,1000000,2720237,60
70/17.pickle,1000000,2677043,60
70/18.pickle,1000000,2700035,60
70/19.pickle,1000000,2702555,60
70/20.pickle,1000000,2743408,60
70/21.pickle,1000000,2713440,60
70/22.pickle,1000000,2692566,60
70/23.pickle,1000000,2714466,60
70/24.pickle,1000000,2686854,60
70/25.pickle,1000000,2699786,60
70/26.pickle,1000000,2679382,60
70/27.pickle,1000000,2682152,60
70/28.pickle,1000000,2700455,60
70/29.pickle,1000000,2697329,60
70/30.pickle,1000000,2751670,60
70/31.pickle,1000000,2715615,60
70/32.pickle,1000000,2719736,60
70/33.pickle,1000000,2703354,60
70/34.pickle,1000000,2721125,60
70/35.pickle,1000000,2702563,60
70/36.pickle,1000000,2713090,60
70/37.pickle,1000000,2683557,60
70/38.pickle,1000000,2674337,60
70/39.pickle,1000000,2706348,60
70/40.pickle,1000000,2705745,60
70/41.pickle,1000000,2701011,60
70/42.pickle,1000000,2702891,60
70/43.pickle,1000000,2694705,60
70/44.pickle,1000000,2668865,60
70/45.pickle,1000000,2693298,60
70/46.pickle,1000000,2708450,60
70/47.pickle,1000000,2681448,60
70/48.pickle,1000000,2674000,60
70/49.pickle,1000000,2703950,60
70/50.pickle,1000000,2707238,60
70/51.pickle,1000000,2712472,60
70/52.pickle,1000000,2677948,60
70/53.pickle,1000000,2705439,60
70/54.pickle,1000000,2699074,60
70/55.pickle,1000000,2696176,60
70/56.pickle,1000000,2661351,60
70/57.pickle,1000000,2725630,60
70/58.pickle,1000000,2680726,60
70/59.pickle,1000000,2675635,60
70/60.pickle,1000000,2687881,60
70/61.pickle,1000000,2706233,60
70/62.pickle,1000000,2712492,60
70/63.pickle,1000000,2695111,60
70/64.pickle,1000000,2653893,60
70/65.pickle,1000000,2706858,60
70/66.pickle,1000000,2693621,60
70/67.pickle,1000000,2689852,60
70/68.pickle,1000000,2699930,60
70/69.pickle,1000000,2696137,60
70/70.pickle,1000000,2704181,60
70/71.pickle,1000000,2693361,60
70/72.pickle,1000000,2706233,60
70/73.pickle,1000000,2691151,60
70/74.pickle,1000000,2711373,60
70/75.pickle,1000000,2707401,60
70/76.pickle,1000000,2711480,60
70/77.pickle,1000000,2708633,60
70/78.pickle,1000000,2708050,60
70/79.pickle,1000000,2633206,60
70/80.pickle,1000000,2699230,60
70/81.pickle,1000000,2672256,60
70/82.pickle,1000000,2702047,60
70/83.pickle,1000000,2676511,60
70/84.pickle,1000000,2709076,60
70/85.pickle,1000000,2716799,60
70/86.pickle,1000000,2697946,60
70/87.pickle,1000000,2712974,60
70/88.pickle,1000000,2711737,60
70/89.pickle,1000000,2643654,60
70/90.pickle,1000000,2694107,60
70/91.pickle,1000000,2729946,60
70/92.pickle,1000000,2719623,60
70/93.pickle,1000000,2719036,60
70/94.pickle,1000000,2689121,60
70/95.pickle,1000000,2700888,60
70/96.pickle,1000000,2698086,60
70/97.pickle,1000000,2704878,60
70/98.pickle,1000000,2719419,60
70/99.pickle,1000000,2701109,60
